Age,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,Gender_female,Gender_male,Gender_other,no_employees_mid
26,United States,IN,no,No,No,Sometimes,26-100,No,Yes,No,No,No,No,Unknown,Easy,No,No,Maybe,Maybe,No,No,Maybe,Yes,False,True,False,63
25,United States,OR,no,No,No,Sometimes,26-100,Yes,Yes,Unknown,Unknown,No,Unknown,Unknown,Easy,No,No,Maybe,Yes,No,No,Maybe,No,False,True,False,63
27,United States,TN,no,No,No,Sometimes,100-500,No,Yes,Yes,Unknown,Yes,Yes,Unknown,Easy,Maybe,No,Maybe,Yes,No,Maybe,Maybe,No,False,True,False,300
25,Canada,Unknown,no,No,Yes,Often,6-25,Yes,No,Unknown,No,No,Unknown,Unknown,Difficult,Yes,Maybe,No,No,No,Maybe,Maybe,No,False,True,False,15
35,United States,OR,no,No,Yes,Rarely,100-500,No,Yes,Yes,Unknown,Unknown,Yes,Unknown,Easy,No,No,Maybe,Yes,No,No,Maybe,No,False,True,False,300
36,United States,WA,yes,No,Yes,Never,1-5,No,Yes,No,Yes,No,No,Unknown,Easy,Maybe,No,Maybe,Yes,No,No,Yes,No,False,True,False,3
26,United States,CA,no,Yes,Yes,Sometimes,more than 1000,No,Yes,Yes,Unknown,No,Unknown,Unknown,Easy,Yes,No,No,No,No,No,No,No,False,True,False,1500
27,United States,CA,no,Yes,No,Sometimes,more than 1000,No,Yes,Unknown,No,Unknown,Unknown,Unknown,Easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,False,True,False,1500
30,United States,VT,no,No,No,Sometimes,6-25,No,No,Unknown,Unknown,No,Unknown,Unknown,Easy,Maybe,Maybe,Maybe,Maybe,No,No,Maybe,No,False,True,False,15
29,United States,NY,no,No,No,Sometimes,100-500,No,No,Unknown,Unknown,No,Unknown,Unknown,Easy,Maybe,No,No,No,No,Maybe,Maybe,No,False,True,False,300
25,United States,UT,no,No,No,Never,more than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Maybe,Yes,Maybe,Maybe,Yes,No,False,True,False,1500
22,United States,NY,no,Yes,Yes,Often,more than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Easy,Maybe,No,No,Maybe,No,No,Yes,Yes,True,False,False,1500
29,Latvia,NY,no,No,No,Sometimes,26-100,No,Yes,No,Yes,No,No,Unknown,Easy,Maybe,Maybe,Maybe,Maybe,No,No,Maybe,No,False,True,False,63
41,United States,SD,no,Yes,Yes,Rarely,100-500,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Easy,No,No,Maybe,Yes,Maybe,Maybe,Yes,No,False,True,False,300
29,United States,CA,no,No,Yes,Sometimes,more than 1000,No,Yes,Yes,No,No,Unknown,Unknown,Easy,Yes,No,Maybe,Maybe,No,Maybe,No,No,False,True,False,1500
32,United States,OR,no,No,No,Never,500-1000,No,Yes,Yes,Unknown,Unknown,Yes,Yes,Easy,No,No,Maybe,Yes,Maybe,Maybe,Yes,No,False,True,False,750
24,United States,CA,no,Yes,Yes,Sometimes,more than 1000,No,Yes,Yes,Yes,No,Yes,Yes,Easy,Maybe,No,Maybe,No,No,Maybe,Maybe,No,True,False,False,1500
25,United States,CA,no,No,Yes,Rarely,6-25,No,Yes,Yes,No,Unknown,No,Unknown,Easy,Maybe,No,No,No,No,No,Maybe,No,False,True,False,15
25,United States,CA,no,No,No,Sometimes,more than 1000,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Easy,Maybe,No,No,No,No,Maybe,Maybe,No,False,True,False,1500
30,United States,CO,no,No,No,Never,more than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Easy,Maybe,Maybe,No,Maybe,No,No,Maybe,No,True,False,False,1500
25,United States,CA,no,Yes,Yes,Sometimes,more than 1000,No,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Easy,No,No,Yes,Yes,No,No,Yes,No,False,True,False,1500
30,United States,OH,yes,No,No,Never,1-5,Yes,Yes,No,Yes,No,No,Unknown,Easy,Maybe,No,Maybe,Maybe,No,Maybe,Maybe,No,False,True,False,3
33,Germany,Unknown,yes,Yes,Yes,Rarely,1-5,No,No,No,No,No,No,Unknown,Difficult,Yes,Yes,No,No,Maybe,No,Yes,Yes,False,True,False,3
24,United States,WA,no,No,No,Sometimes,26-100,No,Yes,Yes,Unknown,Yes,Yes,Yes,Easy,No,No,Maybe,Maybe,No,Maybe,Yes,No,False,True,False,63
25,Canada,Unknown,no,Yes,Yes,Sometimes,more than 1000,No,Yes,Yes,Yes,No,Unknown,Unknown,Easy,Yes,Maybe,Maybe,No,No,No,No,No,False,True,False,1500
31,United States,OH,no,No,No,Sometimes,100-500,No,No,Unknown,No,No,No,Yes,Easy,Maybe,No,No,No,No,Yes,No,No,False,True,False,300
45,Ireland,Unknown,yes,No,Yes,Often,1-5,No,Yes,No,No,No,No,Unknown,Difficult,No,No,No,No,No,No,Maybe,No,False,True,False,3
29,Romania,Unknown,no,No,No,Sometimes,6-25,Yes,No,No,Yes,No,No,Unknown,Easy,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,No,No,False,True,False,15
46,United States,WA,no,No,No,Never,26-100,No,Yes,Yes,Unknown,Yes,Unknown,Unknown,Easy,No,No,Maybe,Maybe,Maybe,Maybe,Maybe,No,False,True,False,63
30,United Kingdom,Unknown,no,No,Yes,Sometimes,26-100,No,Yes,Unknown,No,No,Unknown,Unknown,Easy,Yes,Maybe,No,No,No,Maybe,Maybe,No,False,True,False,63
29,United States,CA,yes,No,No,Sometimes,more than 1000,No,Yes,Yes,Unknown,Unknown,No,Unknown,Easy,Maybe,Maybe,Maybe,Maybe,No,No,Maybe,No,True,False,False,1500
24,United States,MA,no,No,No,Sometimes,more than 1000,No,Yes,Yes,Yes,Unknown,Unknown,Yes,Easy,Yes,No,No,No,No,Maybe,Maybe,No,False,True,False,1500
29,United States,WA,no,No,No,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Maybe,Yes,No,Maybe,Yes,No,False,True,False,63
35,United States,MI,no,No,No,Sometimes,26-100,No,No,Unknown,Unknown,No,Unknown,Unknown,Easy,No,No,Yes,Yes,No,No,No,No,False,True,False,63
33,United States,WA,no,Yes,No,Sometimes,26-100,Yes,Yes,No,Yes,No,No,Unknown,Difficult,Yes,Maybe,Maybe,Maybe,No,Maybe,No,No,True,False,False,63
27,United States,CA,no,No,No,Sometimes,more than 1000,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Easy,Yes,No,No,No,No,Maybe,No,No,False,True,False,1500
36,United States,IA,no,No,No,Sometimes,more than 1000,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Easy,Maybe,No,Maybe,Maybe,No,No,Maybe,No,False,True,False,1500
33,United Kingdom,Unknown,no,No,No,Rarely,1-5,Yes,Yes,Unknown,No,No,No,Unknown,Easy,Yes,Maybe,No,No,No,Maybe,No,No,False,True,False,3
25,United States,WA,no,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,No,Yes,Easy,No,No,Maybe,Yes,No,No,Maybe,No,True,False,False,63
23,United States,AL,no,Yes,Yes,Sometimes,100-500,No,No,Unknown,No,No,No,Unknown,Easy,No,No,Yes,Yes,Maybe,Yes,Maybe,No,False,True,False,300
54,United States,CA,no,Yes,Yes,Never,more than 1000,No,Yes,Unknown,No,Yes,Yes,Unknown,Easy,No,No,No,Yes,No,No,Maybe,No,False,True,False,1500
22,United States,CA,no,No,No,Sometimes,more than 1000,No,Yes,Unknown,No,Unknown,Unknown,Unknown,Easy,Maybe,No,Maybe,No,No,Maybe,Maybe,No,False,True,False,1500
25,United States,CA,no,Yes,Yes,Sometimes,more than 1000,No,Yes,Yes,Yes,Unknown,Unknown,Unknown,Easy,Maybe,No,Maybe,Maybe,No,No,Yes,No,False,False,True,1500
29,Belgium,Unknown,no,No,No,Often,6-25,No,No,Unknown,No,No,No,Unknown,Easy,Maybe,No,Yes,Yes,Maybe,Maybe,Maybe,No,False,True,False,15
27,United States,MA,no,No,Yes,Sometimes,more than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Easy,No,No,No,No,No,Yes,Yes,No,False,True,False,1500
30,United Kingdom,Unknown,no,No,No,Never,6-25,No,Yes,No,No,No,Unknown,Unknown,Easy,No,No,Maybe,Yes,No,Maybe,Yes,No,False,True,False,15
26,United States,CA,no,Yes,Yes,Often,more than 1000,No,Yes,Yes,Unknown,Unknown,Yes,Unknown,Easy,Maybe,No,Maybe,No,No,No,Maybe,No,False,True,False,1500
25,Sweden,Unknown,no,Yes,No,Sometimes,6-25,No,Yes,Yes,Yes,Yes,No,Unknown,Easy,No,No,Maybe,Yes,No,No,No,No,True,False,False,15
31,United States,CA,no,No,Yes,Sometimes,500-1000,No,No,No,Yes,No,Unknown,Yes,Easy,No,No,Maybe,No,No,No,No,No,False,True,False,750
33,United States,IN,no,Yes,Yes,Sometimes,26-100,No,Yes,Unknown,Unknown,No,No,Unknown,Easy,Maybe,No,Maybe,Maybe,No,No,Maybe,No,False,True,False,63
34,United States,WA,no,Yes,Yes,Sometimes,more than 1000,No,Yes,Yes,Yes,Unknown,Yes,Yes,Easy,Maybe,Maybe,No,No,No,No,Maybe,No,False,True,False,1500
34,United States,WA,no,No,Yes,Sometimes,100-500,Yes,Yes,No,No,No,No,Unknown,Easy,Yes,Yes,Maybe,Maybe,No,Maybe,Maybe,No,False,True,False,300
29,United States,IN,yes,No,No,Sometimes,1-5,Yes,Yes,No,Yes,No,No,Yes,Easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,False,True,False,3
33,United States,WA,no,No,No,Sometimes,6-25,No,Yes,No,No,No,No,Unknown,Difficult,Maybe,No,Maybe,Maybe,No,No,Maybe,No,True,False,False,15
34,Germany,Unknown,yes,Yes,Yes,Rarely,26-100,Yes,Yes,No,No,No,Unknown,Unknown,Difficult,No,No,Yes,Yes,No,Maybe,Yes,No,False,True,False,63
26,United States,OK,yes,Yes,Yes,Rarely,100-500,Yes,No,No,No,No,Unknown,No,Easy,Maybe,No,Maybe,Yes,No,Yes,No,No,False,True,False,300
32,United States,MI,no,Yes,Yes,Rarely,more than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Maybe,Yes,No,Yes,Yes,No,False,True,False,1500
28,United States,GA,no,Yes,Yes,Sometimes,more than 1000,No,Yes,Unknown,Unknown,No,Unknown,Unknown,Difficult,Maybe,Maybe,No,No,No,No,No,No,False,True,False,1500
35,United States,CA,no,Yes,No,Sometimes,more than 1000,No,Yes,Yes,No,Yes,Yes,Yes,Easy,No,No,Maybe,Yes,No,No,Maybe,No,False,True,False,1500
36,United States,Unknown,no,Yes,Yes,Often,100-500,No,Yes,No,Yes,No,No,Yes,Easy,No,No,Maybe,Maybe,No,No,Maybe,No,False,True,False,300
21,United States,IN,no,Yes,Yes,Rarely,100-500,No,Yes,Yes,No,No,Unknown,Yes,Easy,No,No,Yes,Yes,Maybe,Maybe,Maybe,No,False,True,False,300
21,United Kingdom,Unknown,no,No,Yes,Sometimes,6-25,No,No,Unknown,Unknown,No,No,No,Easy,Yes,No,Maybe,No,No,Maybe,No,No,False,True,False,15
22,United States,WA,no,No,No,Sometimes,more than 1000,No,Yes,Yes,No,Yes,Yes,Yes,Easy,No,No,No,Maybe,No,No,Yes,No,True,False,False,1500
41,United States,WA,no,Yes,Yes,Often,more than 1000,No,Yes,Yes,No,Yes,Yes,Unknown,Difficult,Maybe,No,Yes,Maybe,No,Maybe,No,Yes,False,True,False,1500
55,United States,PA,no,Yes,Yes,Rarely,more than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Yes,Yes,No,No,Yes,No,False,True,False,1500
32,United States,WA,no,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Easy,Maybe,No,Maybe,Yes,No,Maybe,Yes,No,True,False,False,63
21,United States,CA,no,Yes,Yes,Rarely,26-100,No,Yes,Unknown,Unknown,Unknown,No,Unknown,Easy,Yes,No,Maybe,No,No,Yes,Maybe,No,True,False,False,63
45,United States,MA,no,No,Yes,Never,26-100,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Easy,Maybe,No,No,Maybe,No,Maybe,Maybe,No,False,True,False,63
27,United States,WA,no,No,Yes,Rarely,more than 1000,No,Yes,Yes,Yes,No,No,Yes,Easy,Yes,Maybe,No,No,No,No,No,No,True,False,False,1500
25,United States,WA,no,Yes,Yes,Sometimes,26-100,Yes,Yes,Unknown,No,No,No,Unknown,Easy,Maybe,No,Maybe,Yes,No,No,Yes,No,True,False,False,63
34,United States,NY,no,Yes,Yes,Rarely,more than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Difficult,Maybe,Maybe,Maybe,Maybe,No,No,Yes,No,False,False,True,1500
26,United States,CA,no,Yes,Yes,Never,more than 1000,No,Yes,Yes,Yes,No,Yes,Yes,Easy,Maybe,No,No,No,No,No,Maybe,No,True,False,False,1500
41,Canada,Unknown,no,No,Yes,Never,500-1000,No,Yes,Yes,Unknown,No,Unknown,Unknown,Easy,No,No,Maybe,Maybe,No,No,Maybe,No,False,True,False,750
27,United States,CA,no,No,Yes,Rarely,more than 1000,No,Yes,Yes,No,Yes,Yes,Yes,Easy,No,No,Maybe,Yes,No,Maybe,Yes,No,False,True,False,1500
31,United States,IN,no,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,No,No,No,Unknown,Easy,No,No,Yes,Yes,No,No,Maybe,No,False,False,True,63
25,Germany,Unknown,no,Yes,Yes,Often,26-100,Yes,Yes,No,No,No,No,Yes,Easy,No,No,Yes,Yes,No,Yes,No,No,False,True,False,63
26,United States,NV,no,No,Yes,Sometimes,6-25,No,Yes,Unknown,No,No,No,Unknown,Easy,Yes,Yes,Maybe,No,No,No,No,No,False,True,False,15
27,United States,CO,no,Yes,Yes,Rarely,more than 1000,Yes,Yes,Yes,Yes,No,Unknown,Unknown,Easy,Maybe,Maybe,No,Yes,No,No,Maybe,No,True,False,False,1500
42,New Zealand,Unknown,no,No,No,Never,500-1000,No,Yes,Unknown,Unknown,No,No,Unknown,Easy,No,No,Maybe,Yes,Maybe,Maybe,Maybe,No,False,True,False,750
29,United States,CA,yes,Yes,Yes,Sometimes,1-5,Yes,Yes,Yes,Yes,No,No,Unknown,Difficult,Yes,No,Maybe,No,No,Maybe,No,No,False,False,True,3
25,United States,CA,no,No,Yes,Sometimes,6-25,No,Yes,Unknown,Unknown,No,No,Unknown,Difficult,Yes,No,Maybe,No,No,Maybe,Maybe,No,True,False,False,15
33,Sweden,Unknown,no,Yes,Yes,Rarely,more than 1000,No,Yes,Yes,Yes,No,Yes,Yes,Easy,Maybe,No,Maybe,No,No,Yes,Maybe,No,True,False,False,1500
40,United States,PA,no,Yes,Yes,Rarely,more than 1000,No,No,Yes,No,Unknown,Unknown,Unknown,Easy,Maybe,Maybe,No,No,No,No,Maybe,No,True,False,False,1500
31,United States,SC,no,No,No,Never,more than 1000,No,Yes,Unknown,No,No,Unknown,Unknown,Easy,Yes,No,Maybe,No,No,No,Maybe,No,False,True,False,1500
26,Canada,Unknown,no,Yes,Yes,Often,26-100,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Easy,No,No,Yes,Yes,No,No,Yes,No,False,True,False,63
24,United States,TX,no,Yes,No,Sometimes,500-1000,No,No,No,No,No,No,No,Difficult,Yes,Maybe,No,No,No,Maybe,No,Yes,True,False,False,750
29,United States,TX,no,No,No,Never,more than 1000,No,No,Yes,Unknown,No,Unknown,Unknown,Easy,Maybe,No,Maybe,Maybe,No,No,Maybe,No,False,True,False,1500
48,United Kingdom,Unknown,no,No,No,Sometimes,26-100,No,Yes,Unknown,No,No,No,Unknown,Easy,Maybe,Maybe,No,No,No,No,No,No,False,True,False,63
35,United Kingdom,Unknown,no,No,No,Sometimes,6-25,No,Yes,No,No,No,No,Unknown,Difficult,Maybe,Maybe,Maybe,Yes,No,Maybe,No,Yes,False,True,False,15
32,United States,AL,no,No,No,Never,100-500,No,Yes,Unknown,Unknown,No,No,Unknown,Easy,Maybe,No,No,Maybe,No,Maybe,Maybe,No,True,False,False,300
29,Canada,Unknown,no,No,Yes,Sometimes,100-500,No,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Easy,Maybe,No,Maybe,Maybe,No,Maybe,Yes,No,False,True,False,300
26,United States,OR,no,Yes,Yes,Often,6-25,No,Yes,Yes,Yes,No,No,Unknown,Difficult,Maybe,No,Maybe,Yes,No,No,No,No,False,True,False,15
28,United States,NJ,no,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,No,Unknown,Easy,Maybe,No,Maybe,No,No,Maybe,No,No,False,True,False,63
23,United States,CA,no,No,No,Sometimes,more than 1000,No,Yes,Unknown,No,No,Unknown,Unknown,Easy,No,No,Maybe,Yes,No,Maybe,No,No,False,True,False,1500
35,United States,CA,no,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,Unknown,Difficult,Maybe,Maybe,Maybe,Maybe,No,Maybe,No,Yes,False,True,False,300
29,Germany,Unknown,no,Yes,Yes,Sometimes,26-100,No,Yes,Unknown,No,No,No,Unknown,Easy,Maybe,No,Maybe,Maybe,Maybe,Maybe,Maybe,No,False,True,False,63
26,United States,CA,no,Yes,No,Sometimes,6-25,No,Yes,Yes,Yes,No,Yes,Yes,Easy,No,No,Maybe,Yes,Maybe,Maybe,No,No,False,True,False,15
33,United States,NH,no,Yes,Yes,Never,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Easy,Yes,Maybe,Yes,Maybe,No,No,Yes,No,False,True,False,63
33,United States,CA,no,No,No,Sometimes,more than 1000,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Easy,Yes,No,Maybe,No,No,Maybe,Yes,No,False,True,False,1500
22,Brazil,Unknown,yes,No,No,Never,6-25,Yes,Yes,Unknown,No,No,No,Unknown,Easy,No,No,Yes,Yes,Maybe,No,Maybe,No,False,True,False,15
30,Spain,Unknown,no,Yes,No,Sometimes,500-1000,No,Yes,No,No,No,No,Unknown,Easy,Yes,Maybe,No,No,No,No,Maybe,No,True,False,False,750
33,United States,OH,no,Yes,Yes,Often,more than 1000,Yes,Yes,Yes,Yes,No,No,Unknown,Easy,Yes,No,No,No,No,No,No,No,False,True,False,1500
31,United States,OH,no,Yes,Yes,Rarely,more than 1000,No,No,Unknown,Unknown,No,Unknown,Unknown,Difficult,Yes,Maybe,No,No,No,Maybe,No,No,True,False,False,1500
21,United States,MA,no,Yes,No,Never,more than 1000,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Easy,No,No,Maybe,Maybe,No,Maybe,Maybe,Yes,False,True,False,1500
31,United Kingdom,Unknown,no,Yes,Yes,Sometimes,more than 1000,No,Yes,Unknown,No,No,No,Unknown,Easy,Yes,Maybe,No,No,No,Yes,Yes,No,False,False,True,1500
26,United States,OK,no,No,Yes,Sometimes,100-500,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Difficult,No,No,Maybe,Maybe,No,No,Yes,No,True,False,False,300
30,United States,CA,no,Yes,No,Often,6-25,No,Yes,Unknown,No,No,Unknown,Unknown,Easy,Maybe,No,Maybe,Yes,No,No,Maybe,No,False,True,False,15
30,Germany,Unknown,no,Yes,Yes,Sometimes,100-500,No,Yes,Unknown,Unknown,No,No,Unknown,Difficult,No,No,Yes,Yes,Maybe,Maybe,No,No,False,False,True,300
23,India,Unknown,no,No,No,Sometimes,6-25,No,Yes,No,No,No,No,Unknown,Easy,No,No,Maybe,Yes,Maybe,Maybe,No,No,False,True,False,15
34,Finland,Unknown,no,No,No,Never,6-25,No,Yes,No,No,No,No,Unknown,Easy,No,No,Yes,Yes,No,Maybe,Maybe,No,False,True,False,15
55,United States,ID,no,Yes,Yes,Sometimes,1-5,Yes,Yes,No,Yes,No,Unknown,Unknown,Easy,Yes,Maybe,No,No,No,No,No,Yes,False,True,False,3
28,Germany,Unknown,no,Yes,Yes,Rarely,1-5,Yes,Yes,Yes,No,No,No,Yes,Easy,No,No,Yes,Yes,No,No,Yes,No,False,True,False,3
26,Uruguay,Unknown,no,No,No,Sometimes,26-100,Yes,Yes,Unknown,No,Unknown,No,Unknown,Easy,No,No,Maybe,No,No,Yes,Maybe,No,False,True,False,63
28,New Zealand,Unknown,no,Yes,Yes,Sometimes,6-25,Yes,Yes,Yes,Yes,Yes,No,Unknown,Easy,No,No,Yes,Yes,Yes,Yes,Yes,No,False,True,False,15
32,United Kingdom,Unknown,no,Yes,Yes,Sometimes,6-25,No,Yes,No,No,No,Unknown,Unknown,Easy,No,No,Maybe,Yes,No,No,Maybe,No,False,True,False,15
28,United States,NY,no,No,Yes,Rarely,more than 1000,No,No,Yes,Yes,No,Unknown,Unknown,Easy,Maybe,No,No,No,No,No,Maybe,No,True,False,False,1500
21,United States,CA,no,No,No,Sometimes,6-25,No,No,Unknown,Unknown,No,Yes,Yes,Easy,No,No,Maybe,Maybe,Maybe,Maybe,Yes,No,False,True,False,15
24,United States,TX,no,Yes,Yes,Sometimes,100-500,No,Yes,No,Yes,No,No,Unknown,Difficult,Yes,No,Maybe,Maybe,No,Maybe,No,Yes,False,True,False,300
26,United States,MD,no,No,No,Sometimes,more than 1000,No,No,Yes,Unknown,Yes,Unknown,Unknown,Easy,Maybe,No,Maybe,No,No,No,Maybe,No,True,False,False,1500
23,United States,IN,no,No,No,Sometimes,more than 1000,No,No,Yes,No,No,No,Unknown,Easy,No,No,Yes,No,No,Yes,Maybe,No,False,True,False,1500
24,United States,OR,no,No,No,Sometimes,more than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Maybe,Maybe,Yes,Yes,Yes,No,True,False,False,1500
28,Canada,Unknown,yes,No,No,Never,100-500,Yes,Yes,Unknown,No,No,No,Unknown,Easy,Maybe,No,Maybe,Yes,No,No,Yes,No,False,True,False,300
24,United States,NY,no,Yes,Yes,Rarely,6-25,No,Yes,No,No,No,No,Unknown,Easy,Yes,No,No,Maybe,No,Yes,Yes,No,True,False,False,15
33,United States,MS,yes,No,Yes,Often,1-5,Yes,Yes,No,No,No,No,Yes,Easy,Yes,Maybe,Maybe,Maybe,Yes,Yes,Maybe,No,False,True,False,3
34,United States,NJ,no,No,No,Sometimes,26-100,No,Yes,Unknown,No,No,No,Unknown,Easy,Maybe,No,Yes,Yes,No,Maybe,Maybe,No,False,True,False,63
27,United States,CA,no,No,Yes,Sometimes,26-100,No,Yes,Unknown,Unknown,No,No,Unknown,Difficult,Maybe,Maybe,Maybe,Maybe,No,No,Maybe,No,True,False,False,63
28,United States,TN,no,No,No,Never,6-25,No,Yes,Unknown,No,No,Unknown,Unknown,Easy,No,No,Maybe,Yes,No,No,Maybe,No,False,True,False,15
26,United States,WA,no,No,No,Sometimes,more than 1000,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Easy,No,No,Maybe,Yes,No,No,Maybe,Yes,False,True,False,1500
20,Australia,Unknown,no,No,No,Sometimes,100-500,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Easy,No,No,Maybe,Yes,No,No,Maybe,No,False,True,False,300
23,United States,MA,no,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,Unknown,Unknown,Easy,Maybe,No,Maybe,No,No,Maybe,Maybe,No,True,False,False,63
29,United States,PA,no,Yes,Yes,Rarely,1-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,False,True,False,3
26,United Kingdom,Unknown,no,Yes,No,Sometimes,6-25,No,Yes,No,No,No,No,Unknown,Easy,Maybe,Maybe,No,No,No,Maybe,No,No,False,True,False,15
36,United States,KY,no,No,No,Rarely,more than 1000,Yes,Yes,Yes,No,Yes,Unknown,Unknown,Easy,Maybe,No,No,No,No,No,Maybe,No,False,True,False,1500
41,United States,PA,no,No,Yes,Sometimes,more than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Easy,Maybe,No,Maybe,Yes,Maybe,Yes,Yes,Yes,False,True,False,1500
33,United States,MA,no,No,No,Sometimes,100-500,Yes,Yes,Yes,No,Unknown,No,Unknown,Easy,No,No,Maybe,Yes,No,No,Yes,No,True,False,False,300
23,Canada,Unknown,no,Yes,Yes,Sometimes,6-25,No,Yes,Yes,Yes,No,No,Yes,Easy,No,No,Yes,Yes,No,No,Yes,No,False,True,False,15
39,United States,CA,no,Yes,No,Often,more than 1000,No,Yes,Yes,No,No,Unknown,Unknown,Easy,Yes,No,Maybe,Maybe,No,Maybe,No,Yes,False,True,False,1500
34,United States,VT,no,Yes,No,Sometimes,more than 1000,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Easy,Maybe,No,Maybe,Maybe,No,Maybe,Maybe,Yes,False,True,False,1500
26,United States,CA,no,No,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,Unknown,Difficult,Yes,Maybe,Maybe,Maybe,No,No,No,Yes,True,False,False,300
24,United States,AZ,no,No,Yes,Rarely,26-100,No,Yes,Yes,Yes,Yes,No,Unknown,Easy,No,No,Maybe,Yes,No,No,Maybe,No,False,True,False,63
37,Canada,Unknown,no,Yes,Yes,Rarely,more than 1000,No,No,Yes,Yes,Yes,Yes,Unknown,Easy,Maybe,Maybe,Maybe,Maybe,No,No,Maybe,No,False,True,False,1500
43,United States,MA,yes,Yes,Yes,Often,6-25,Yes,Yes,Yes,Yes,No,No,Yes,Easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,False,True,False,15
40,United States,VA,no,Yes,No,Never,more than 1000,No,Yes,Yes,Yes,Yes,Unknown,Yes,Easy,Yes,Maybe,No,Maybe,No,Maybe,Yes,No,False,False,True,1500
30,United States,WA,no,Yes,Yes,Often,more than 1000,No,Yes,Yes,Yes,Yes,No,Unknown,Difficult,Yes,No,Maybe,No,No,No,No,Yes,False,True,False,1500
34,United States,CA,no,No,Yes,Sometimes,6-25,No,Yes,Unknown,Unknown,No,No,Unknown,Easy,Yes,Yes,Maybe,No,No,No,Maybe,No,False,True,False,15
27,United States,OR,no,Yes,Yes,Sometimes,100-500,No,Yes,Unknown,Unknown,No,Unknown,Unknown,Easy,Yes,No,No,No,No,Yes,Maybe,No,False,True,False,300
36,United States,MI,no,No,No,Sometimes,more than 1000,No,Yes,Unknown,No,No,No,Yes,Easy,No,No,Yes,Yes,Maybe,Yes,Maybe,No,False,True,False,1500
27,Brazil,Unknown,no,No,No,Rarely,6-25,No,Yes,No,Yes,No,No,Unknown,Easy,Maybe,No,Maybe,Maybe,No,Maybe,No,No,False,True,False,15
35,Netherlands,Unknown,no,Yes,No,Never,100-500,No,Yes,Yes,No,No,No,Yes,Easy,Yes,No,No,No,No,Maybe,Maybe,No,False,True,False,300
32,United Kingdom,Unknown,no,No,No,Never,6-25,No,Yes,No,No,No,No,Unknown,Easy,Maybe,No,Maybe,No,No,Yes,Yes,No,False,True,False,15
37,United States,OR,no,No,No,Sometimes,500-1000,No,Yes,Yes,No,No,No,Unknown,Easy,Maybe,Maybe,Maybe,Maybe,No,No,Maybe,No,False,True,False,750
29,United Kingdom,Unknown,no,No,No,Sometimes,26-100,No,Yes,Unknown,No,Unknown,Unknown,Unknown,Easy,No,No,Maybe,Yes,Maybe,Maybe,Yes,No,False,True,False,63
33,United States,CA,no,No,No,Never,500-1000,No,Yes,Yes,Unknown,Yes,Yes,Unknown,Easy,Maybe,No,Maybe,Yes,No,No,Yes,No,True,False,False,750
